Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
0;0;-51.3176;-4.61249;-83.4245;8.5;2572.44;5.11093;0;0;0.1;0.01;0;2.64553;1;0;-1-1;-1
0;1;-37.4326;-33.3455;-84.6834;9.8791;4038.69;5.94016;0;0;0.1;0.01;0;2.67547;0;0;-1-1;-1
0;2;-37.6575;-13.8253;-86.4852;8.5;2572.44;5.11093;0;0;0.1;0.01;0;2.65074;1;0;-1-1;-1
0;3;-38.5117;0.472882;-85.5915;8.93259;2985.53;5.37104;0;0;0.1;0.01;0;2.49669;0;0;-1-1;-1
0;4;-35.4896;20.6046;-84.3377;10.0373;4235.84;6.03528;0;0;0.1;0.01;0;3.0544;0;0;-1-1;-1
0;5;-21.799;-40.627;-87.2602;9.31441;3384.97;5.60062;0;0;0.1;0.01;0;2.80859;0;0;-1-1;-1
0;6;-20.5443;-22.3998;-85.9332;8.72424;2781.45;5.24576;0;0;0.1;0.01;0;4.24009;0;0;-1-1;-1
0;7;-21.0333;-8.41743;-84.5118;8.68751;2746.47;5.22367;0;0;0.1;0.01;0;4.10661;0;0;-1-1;-1
0;8;-20.3054;10.7166;-85.9696;8.9461;2999.09;5.37916;0;0;0.1;0.01;0;3.39535;0;0;-1-1;-1
0;9;-22.3014;28.76;-84.0064;9.1147;3171.87;5.48054;0;0;0.1;0.01;0;3.81256;0;0;-1-1;-1
0;10;-8.84378;-49.3337;-83.4157;10.3831;4688.89;6.24321;0;0;0.1;0.01;0;3.61012;0;0;-1-1;-1
0;11;-7.09797;-30.7518;-87.1627;9.25676;3322.5;5.56596;0;0;0.1;0.01;0;4.7539;0;0;-1-1;-1
0;12;-6.8091;-16.6177;-86.2522;8.92614;2979.06;5.36716;0;0;0.1;0.01;0;5.07686;0;0;-1-1;-1
0;13;-6.59142;0.142463;-85.5132;10.1914;4433.94;6.12794;0;0;0.1;0.01;0;5.02082;0;0;-1-1;-1
0;14;-7.5667;20.034;-83.7575;10.1998;4444.92;6.13299;0;0;0.1;0.01;0;5.00727;0;0;-1-1;-1
0;15;-7.67633;38.2916;-83.9294;9.71243;3837.71;5.83994;0;0;0.1;0.01;0;3.32114;0;0;-1-1;-1
0;16;7.44574;-40.871;-85.9505;10.0896;4302.4;6.06673;0;0;0.1;0.01;0;4.8478;0;0;-1-1;-1
